complete,volume,time,mid
True,112731,2021-01-03T22:00:00.000000000Z,"{'o': '1.22400', 'h': '1.23098', 'l': '1.22310', 'c': '1.22525'}"
True,98960,2021-01-04T22:00:00.000000000Z,"{'o': '1.22525', 'h': '1.23057', 'l': '1.22470', 'c': '1.22986'}"
True,146293,2021-01-05T22:00:00.000000000Z,"{'o': '1.22986', 'h': '1.23496', 'l': '1.22656', 'c': '1.23272'}"
True,116355,2021-01-06T22:00:00.000000000Z,"{'o': '1.23264', 'h': '1.23444', 'l': '1.22451', 'c': '1.22692'}"
True,131402,2021-01-07T22:00:00.000000000Z,"{'o': '1.22729', 'h': '1.22848', 'l': '1.21930', 'c': '1.22210'}"
True,104515,2021-01-10T22:00:00.000000000Z,"{'o': '1.22190', 'h': '1.22274', 'l': '1.21322', 'c': '1.21512'}"
True,98206,2021-01-11T22:00:00.000000000Z,"{'o': '1.21514', 'h': '1.22098', 'l': '1.21371', 'c': '1.22079'}"
True,94061,2021-01-12T22:00:00.000000000Z,"{'o': '1.22072', 'h': '1.22229', 'l': '1.21398', 'c': '1.21580'}"
True,104506,2021-01-13T22:00:00.000000000Z,"{'o': '1.21545', 'h': '1.21786', 'l': '1.21112', 'c': '1.21546'}"
True,91612,2021-01-14T22:00:00.000000000Z,"{'o': '1.21551', 'h': '1.21626', 'l': '1.20750', 'c': '1.20804'}"
True,62934,2021-01-17T22:00:00.000000000Z,"{'o': '1.20840', 'h': '1.20869', 'l': '1.20536', 'c': '1.20773'}"
True,80844,2021-01-18T22:00:00.000000000Z,"{'o': '1.20768', 'h': '1.21450', 'l': '1.20740', 'c': '1.21286'}"
True,88416,2021-01-19T22:00:00.000000000Z,"{'o': '1.21284', 'h': '1.21583', 'l': '1.20768', 'c': '1.21062'}"
True,95713,2021-01-20T22:00:00.000000000Z,"{'o': '1.21059', 'h': '1.21732', 'l': '1.21037', 'c': '1.21676'}"
True,85424,2021-01-21T22:00:00.000000000Z,"{'o': '1.21650', 'h': '1.21896', 'l': '1.21516', 'c': '1.21718'}"
True,100047,2021-01-24T22:00:00.000000000Z,"{'o': '1.21716', 'h': '1.21834', 'l': '1.21161', 'c': '1.21416'}"
True,95546,2021-01-25T22:00:00.000000000Z,"{'o': '1.21416', 'h': '1.21760', 'l': '1.21078', 'c': '1.21600'}"
